Site Name,Site Abbreviation,Center Longitude,Center Latitude
Hat Creek Observatory,H,-121.47,40.8
Capitol Reef Field Station,C,-111.18,38.18527
Bridger,B,-108.92,45.29838
Eastern Iowa Observatory,E,-91.499,41.88884
Millstone Hill Observatory,L,-71.484,42.61191
Pisgah Astronomical Observatory,P,-82.874,35.20115
Rainwater Observatory,R,-89.386,33.29205
Madison,D,-96.094047,38.11792
McDonald Observatory,M,-104.023,30.6714
